network_type,target_kappa_eff,init_mode,seed,alpha_on_kappa_bare,alpha_off_kappa_bare,alpha_on_kappa_eff,alpha_off_kappa_eff,kappa_eff_ratio_on_over_off,alpha_on_initial_CI,alpha_off_initial_CI,alpha_on_mean_CI,alpha_off_mean_CI,mean_CI_delta_on_minus_off,alpha_on_final_CI,alpha_off_final_CI,alpha_on_success,alpha_off_success,trajectories_match_prediction
lattice,0.05,near_sync,17,0.00036487,0.05,0.05,0.05,1.0,0.987046,0.987046,0.989086,0.989086,0.0,0.988591,0.988591,True,True,True
lattice,0.1,random,3,0.00072974,0.1,0.1,0.1,1.0,0.071065,0.071065,0.062291,0.062291,0.0,0.055407,0.055407,False,False,True
lattice,0.1,random,5,0.00072974,0.1,0.1,0.1,1.0,0.033844,0.033844,0.032312,0.032312,0.0,0.030487,0.030487,False,False,True
lattice,0.1,random,12,0.00072974,0.1,0.1,0.1,1.0,0.133231,0.133231,0.162964,0.162964,0.0,0.188957,0.188957,False,False,True
lattice,0.1,random,17,0.00072974,0.1,0.1,0.1,1.0,0.163877,0.163877,0.187533,0.187533,0.0,0.21207,0.21207,False,False,True
lattice,0.1,near_sync,3,0.00072974,0.1,0.1,0.1,1.0,0.987302,0.987302,0.990243,0.990243,0.0,0.989835,0.989835,True,True,True
lattice,0.1,near_sync,5,0.00072974,0.1,0.1,0.1,1.0,0.99127,0.99127,0.993484,0.993484,0.0,0.993436,0.993436,True,True,True
lattice,0.1,near_sync,12,0.00072974,0.1,0.1,0.1,1.0,0.990675,0.990675,0.9924,0.9924,0.0,0.991762,0.991762,True,True,True
lattice,0.1,near_sync,17,0.00072974,0.1,0.1,0.1,1.0,0.987046,0.987046,0.991397,0.991397,0.0,0.992223,0.992223,True,True,True
lattice,0.2,random,3,0.00145947,0.2,0.2,0.2,1.0,0.071065,0.071065,0.060536,0.060536,0.0,0.053148,0.053148,False,False,True
lattice,0.2,random,5,0.00145947,0.2,0.2,0.2,1.0,0.033844,0.033844,0.032295,0.032295,0.0,0.027567,0.027567,False,False,True
lattice,0.2,random,12,0.00145947,0.2,0.2,0.2,1.0,0.133231,0.133231,0.183379,0.183379,0.0,0.221892,0.221892,False,False,True
lattice,0.2,random,17,0.00145947,0.2,0.2,0.2,1.0,0.163877,0.163877,0.209981,0.209981,0.0,0.252218,0.252218,False,False,True
lattice,0.2,near_sync,3,0.00145947,0.2,0.2,0.2,1.0,0.987302,0.987302,0.992631,0.992631,0.0,0.992844,0.992844,True,True,True
lattice,0.2,near_sync,5,0.00145947,0.2,0.2,0.2,1.0,0.99127,0.99127,0.995194,0.995194,0.0,0.995912,0.995912,True,True,True
lattice,0.2,near_sync,12,0.00145947,0.2,0.2,0.2,1.0,0.990675,0.990675,0.993917,0.993917,0.0,0.993958,0.993958,True,True,True
lattice,0.2,near_sync,17,0.00145947,0.2,0.2,0.2,1.0,0.987046,0.987046,0.993882,0.993882,0.0,0.995255,0.995255,True,True,True
lattice,0.5,random,3,0.00364868,0.5,0.5,0.5,1.0,0.071065,0.071065,0.049281,0.049281,0.0,0.026655,0.026655,False,False,True
lattice,0.5,random,5,0.00364868,0.5,0.5,0.5,1.0,0.033844,0.033844,0.036552,0.036552,0.0,0.055217,0.055217,False,False,True
lattice,0.5,random,12,0.00364868,0.5,0.5,0.5,1.0,0.133231,0.133231,0.223386,0.223386,0.0,0.269367,0.269367,False,False,True
lattice,0.5,random,17,0.00364868,0.5,0.5,0.5,1.0,0.163877,0.163877,0.258775,0.258775,0.0,0.333374,0.333374,False,False,True
lattice,0.5,near_sync,3,0.00364868,0.5,0.5,0.5,1.0,0.987302,0.987302,0.995344,0.995344,0.0,0.995678,0.995678,True,True,True
lattice,0.5,near_sync,5,0.00364868,0.5,0.5,0.5,1.0,0.99127,0.99127,0.997014,0.997014,0.0,0.997855,0.997855,True,True,True
lattice,0.5,near_sync,12,0.00364868,0.5,0.5,0.5,1.0,0.990675,0.990675,0.995777,0.995777,0.0,0.996253,0.996253,True,True,True
lattice,0.5,near_sync,17,0.00364868,0.5,0.5,0.5,1.0,0.987046,0.987046,0.996446,0.996446,0.0,0.997587,0.997587,True,True,True
