experiment,network_type,alpha_on,kappa_bare,kappa_eff,init_mode,seed,initial_CI,final_CI,mean_CI,min_CI,pct_time_ge_0.75,success,regime
formation_kappa_eff_scan,lattice,False,0.05,0.05,random,17,0.163877,0.186678,0.174793,0.163877,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.08,0.08,random,3,0.071065,0.05573,0.062744,0.05573,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.08,0.08,random,5,0.033844,0.030737,0.032102,0.030723,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.08,0.08,random,12,0.133231,0.180658,0.158179,0.133231,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.08,0.08,random,17,0.163877,0.202282,0.182533,0.163877,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.1,0.1,random,3,0.071065,0.055407,0.062291,0.055407,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.1,0.1,random,5,0.033844,0.030487,0.032312,0.030478,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.1,0.1,random,12,0.133231,0.188957,0.162964,0.133231,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.1,0.1,random,17,0.163877,0.21207,0.187533,0.163877,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.15,0.15,random,3,0.071065,0.054827,0.061404,0.054827,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.15,0.15,random,5,0.033844,0.028974,0.032533,0.028974,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.15,0.15,random,12,0.133231,0.206873,0.173811,0.133231,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.15,0.15,random,17,0.163877,0.233933,0.199323,0.163877,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.2,0.2,random,3,0.071065,0.053148,0.060536,0.053148,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.2,0.2,random,5,0.033844,0.027567,0.032295,0.027317,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.2,0.2,random,12,0.133231,0.221892,0.183379,0.133231,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.2,0.2,random,17,0.163877,0.252218,0.209981,0.163877,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.3,0.3,random,3,0.071065,0.044891,0.057777,0.044891,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.3,0.3,random,5,0.033844,0.034796,0.03217,0.025881,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.3,0.3,random,12,0.133231,0.245106,0.199699,0.133231,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.3,0.3,random,17,0.163877,0.282749,0.228404,0.163877,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.5,0.5,random,3,0.071065,0.026655,0.049281,0.026655,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.5,0.5,random,5,0.033844,0.055217,0.036552,0.026102,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.5,0.5,random,12,0.133231,0.269367,0.223386,0.133231,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.5,0.5,random,17,0.163877,0.333374,0.258775,0.163877,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.8,0.8,random,3,0.071065,0.015234,0.038068,0.014734,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.8,0.8,random,5,0.033844,0.084777,0.04608,0.027528,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.8,0.8,random,12,0.133231,0.298822,0.246728,0.133231,0.0,False,failed
formation_kappa_eff_scan,lattice,False,0.8,0.8,random,17,0.163877,0.381789,0.293028,0.163877,0.0,False,failed
formation_kappa_eff_scan,smallworld,False,0.01,0.01,random,3,0.071065,0.061053,0.065985,0.061053,0.0,False,failed
