network_type,target_kappa_eff,realized_kappa_eff,mechanism,seed,init_mode,noise_bare,noise_eff,omega_std,residual_kappa,initial_CI,mean_CI,final_CI,min_CI,pct_time_ge_0.75,success,delta_mean_CI_vs_none,delta_final_CI_vs_none,effect_isolated
meanfield,0.2,0.2,residual_meanfield,5,random,0.01,0.01,0.02,0.2,0.033844,0.056549,0.092349,0.033844,0.0,False,0.014936,0.038704,True
meanfield,0.2,0.2,none,12,random,0.01,0.01,0.02,0.0,0.133231,0.188077,0.254301,0.133231,0.0,False,0.0,0.0,False
meanfield,0.2,0.2,noise_suppression,12,random,0.01,7.297e-05,0.02,0.0,0.133231,0.188392,0.254897,0.133231,0.0,False,0.000315,0.000596,False
meanfield,0.2,0.2,freq_narrowing,12,random,0.01,0.01,0.00291894,0.0,0.133231,0.184513,0.246515,0.133231,0.0,False,-0.003564,-0.007786,False
meanfield,0.2,0.2,residual_meanfield,12,random,0.01,0.01,0.02,0.2,0.133231,0.261582,0.435891,0.133231,0.0,False,0.073505,0.18159,True
meanfield,0.2,0.2,none,17,random,0.01,0.01,0.02,0.0,0.163877,0.217515,0.279686,0.163877,0.0,False,0.0,0.0,False
meanfield,0.2,0.2,noise_suppression,17,random,0.01,7.297e-05,0.02,0.0,0.163877,0.217775,0.280157,0.163877,0.0,False,0.00026,0.000471,False
meanfield,0.2,0.2,freq_narrowing,17,random,0.01,0.01,0.00291894,0.0,0.163877,0.220259,0.286381,0.163877,0.0,False,0.002744,0.006695,False
meanfield,0.2,0.2,residual_meanfield,17,random,0.01,0.01,0.02,0.2,0.163877,0.29214,0.455809,0.163877,0.0,False,0.074625,0.176123,True
meanfield,0.5,0.5,none,3,random,0.01,0.01,0.02,0.0,0.071065,0.134491,0.22671,0.071065,0.0,False,0.0,0.0,False
meanfield,0.5,0.5,noise_suppression,3,random,0.01,7.297e-05,0.02,0.0,0.071065,0.134733,0.227201,0.071065,0.0,False,0.000242,0.000491,False
meanfield,0.5,0.5,freq_narrowing,3,random,0.01,0.01,0.00291894,0.0,0.071065,0.144514,0.254735,0.071065,0.0,False,0.010023,0.028025,True
meanfield,0.5,0.5,residual_meanfield,3,random,0.01,0.01,0.02,0.2,0.071065,0.183305,0.368183,0.071065,0.0,False,0.048814,0.141473,True
meanfield,0.5,0.5,none,5,random,0.01,0.01,0.02,0.0,0.033844,0.066799,0.122044,0.033844,0.0,False,0.0,0.0,False
meanfield,0.5,0.5,noise_suppression,5,random,0.01,7.297e-05,0.02,0.0,0.033844,0.066524,0.121582,0.033844,0.0,False,-0.000275,-0.000462,False
meanfield,0.5,0.5,freq_narrowing,5,random,0.01,0.01,0.00291894,0.0,0.033844,0.069693,0.124412,0.033844,0.0,False,0.002894,0.002368,False
meanfield,0.5,0.5,residual_meanfield,5,random,0.01,0.01,0.02,0.2,0.033844,0.093565,0.208005,0.033844,0.0,False,0.026766,0.085961,True
meanfield,0.5,0.5,none,12,random,0.01,0.01,0.02,0.0,0.133231,0.307298,0.54531,0.133231,0.0,False,0.0,0.0,False
meanfield,0.5,0.5,noise_suppression,12,random,0.01,7.297e-05,0.02,0.0,0.133231,0.307615,0.545711,0.133231,0.0,False,0.000317,0.000401,False
meanfield,0.5,0.5,freq_narrowing,12,random,0.01,0.01,0.00291894,0.0,0.133231,0.302384,0.535153,0.133231,0.0,False,-0.004914,-0.010157,True
meanfield,0.5,0.5,residual_meanfield,12,random,0.01,0.01,0.02,0.2,0.133231,0.401282,0.733532,0.133231,0.0,False,0.093984,0.188222,True
meanfield,0.5,0.5,none,17,random,0.01,0.01,0.02,0.0,0.163877,0.337532,0.563992,0.163877,0.0,False,0.0,0.0,False
meanfield,0.5,0.5,noise_suppression,17,random,0.01,7.297e-05,0.02,0.0,0.163877,0.337921,0.564757,0.163877,0.0,False,0.000389,0.000765,False
meanfield,0.5,0.5,freq_narrowing,17,random,0.01,0.01,0.00291894,0.0,0.163877,0.342708,0.57935,0.163877,0.0,False,0.005176,0.015358,True
meanfield,0.5,0.5,residual_meanfield,17,random,0.01,0.01,0.02,0.2,0.163877,0.434867,0.779802,0.163877,4.5,False,0.097335,0.21581,True
lattice,0.05,0.05,none,3,random,0.01,0.01,0.02,0.0,0.071065,0.063578,0.056701,0.056701,0.0,False,0.0,0.0,False
lattice,0.05,0.05,noise_suppression,3,random,0.01,7.297e-05,0.02,0.0,0.071065,0.063669,0.056747,0.056747,0.0,False,9.1e-05,4.6e-05,False
lattice,0.05,0.05,freq_narrowing,3,random,0.01,0.01,0.00291894,0.0,0.071065,0.068303,0.065668,0.065668,0.0,False,0.004725,0.008967,False
lattice,0.05,0.05,residual_meanfield,3,random,0.01,0.01,0.02,0.2,0.071065,0.084458,0.100715,0.071065,0.0,False,0.02088,0.044014,True
lattice,0.05,0.05,none,5,random,0.01,0.01,0.02,0.0,0.033844,0.03174,0.030847,0.030661,0.0,False,0.0,0.0,False
lattice,0.05,0.05,noise_suppression,5,random,0.01,7.297e-05,0.02,0.0,0.033844,0.031562,0.030716,0.030486,0.0,False,-0.000178,-0.000131,False
lattice,0.05,0.05,freq_narrowing,5,random,0.01,0.01,0.00291894,0.0,0.033844,0.035427,0.036665,0.033844,0.0,False,0.003687,0.005818,False
lattice,0.05,0.05,residual_meanfield,5,random,0.01,0.01,0.02,0.2,0.033844,0.042598,0.054883,0.033844,0.0,False,0.010858,0.024036,True
lattice,0.05,0.05,none,12,random,0.01,0.01,0.02,0.0,0.133231,0.150451,0.166651,0.133231,0.0,False,0.0,0.0,False
lattice,0.05,0.05,noise_suppression,12,random,0.01,7.297e-05,0.02,0.0,0.133231,0.150704,0.167065,0.133231,0.0,False,0.000253,0.000414,False
lattice,0.05,0.05,freq_narrowing,12,random,0.01,0.01,0.00291894,0.0,0.133231,0.147698,0.161373,0.133231,0.0,False,-0.002753,-0.005278,False
lattice,0.05,0.05,residual_meanfield,12,random,0.01,0.01,0.02,0.2,0.133231,0.206965,0.295883,0.133231,0.0,False,0.056514,0.129232,True
lattice,0.05,0.05,none,17,random,0.01,0.01,0.02,0.0,0.163877,0.174793,0.186678,0.163877,0.0,False,0.0,0.0,False
lattice,0.05,0.05,noise_suppression,17,random,0.01,7.297e-05,0.02,0.0,0.163877,0.175001,0.18702,0.163877,0.0,False,0.000208,0.000342,False
lattice,0.05,0.05,freq_narrowing,17,random,0.01,0.01,0.00291894,0.0,0.163877,0.175623,0.187402,0.163877,0.0,False,0.00083,0.000724,False
