network_type,target_kappa_eff,realized_kappa_eff,mechanism,seed,init_mode,noise_bare,noise_eff,omega_std,residual_kappa,initial_CI,mean_CI,final_CI,min_CI,pct_time_ge_0.75,success,delta_mean_CI_vs_none,delta_final_CI_vs_none,effect_isolated
smallworld,0.2,0.2,noise_suppression,12,random,0.01,7.297e-05,0.02,0.0,0.133231,0.172045,0.211874,0.133231,0.0,False,0.000326,0.000608,False
smallworld,0.2,0.2,freq_narrowing,12,random,0.01,0.01,0.00291894,0.0,0.133231,0.169634,0.208735,0.133231,0.0,False,-0.002085,-0.002531,False
smallworld,0.2,0.2,residual_meanfield,12,random,0.01,0.01,0.02,0.2,0.133231,0.235779,0.360285,0.133231,0.0,False,0.06406,0.149019,True
smallworld,0.2,0.2,none,17,random,0.01,0.01,0.02,0.0,0.163877,0.202816,0.243855,0.163877,0.0,False,0.0,0.0,False
smallworld,0.2,0.2,noise_suppression,17,random,0.01,7.297e-05,0.02,0.0,0.163877,0.203108,0.244375,0.163877,0.0,False,0.000292,0.00052,False
smallworld,0.2,0.2,freq_narrowing,17,random,0.01,0.01,0.00291894,0.0,0.163877,0.204458,0.247546,0.163877,0.0,False,0.001642,0.003691,False
smallworld,0.2,0.2,residual_meanfield,17,random,0.01,0.01,0.02,0.2,0.163877,0.275931,0.415552,0.163877,0.0,False,0.073115,0.171697,True
smallworld,0.5,0.5,none,3,random,0.01,0.01,0.02,0.0,0.071065,0.112235,0.17746,0.071065,0.0,False,0.0,0.0,False
smallworld,0.5,0.5,noise_suppression,3,random,0.01,7.297e-05,0.02,0.0,0.071065,0.112432,0.177631,0.071065,0.0,False,0.000197,0.000171,False
smallworld,0.5,0.5,freq_narrowing,3,random,0.01,0.01,0.00291894,0.0,0.071065,0.124929,0.211541,0.071065,0.0,False,0.012694,0.034081,True
smallworld,0.5,0.5,residual_meanfield,3,random,0.01,0.01,0.02,0.2,0.071065,0.161151,0.319731,0.071065,0.0,False,0.048916,0.142271,True
smallworld,0.5,0.5,none,5,random,0.01,0.01,0.02,0.0,0.033844,0.054453,0.050329,0.033844,0.0,False,0.0,0.0,False
smallworld,0.5,0.5,noise_suppression,5,random,0.01,7.297e-05,0.02,0.0,0.033844,0.054091,0.049558,0.033844,0.0,False,-0.000362,-0.000771,False
smallworld,0.5,0.5,freq_narrowing,5,random,0.01,0.01,0.00291894,0.0,0.033844,0.056511,0.046992,0.033844,0.0,False,0.002058,-0.003337,False
smallworld,0.5,0.5,residual_meanfield,5,random,0.01,0.01,0.02,0.2,0.033844,0.081367,0.124118,0.033844,0.0,False,0.026914,0.073789,True
smallworld,0.5,0.5,none,12,random,0.01,0.01,0.02,0.0,0.133231,0.223184,0.300477,0.133231,0.0,False,0.0,0.0,False
smallworld,0.5,0.5,noise_suppression,12,random,0.01,7.297e-05,0.02,0.0,0.133231,0.223614,0.301471,0.133231,0.0,False,0.00043,0.000994,False
smallworld,0.5,0.5,freq_narrowing,12,random,0.01,0.01,0.00291894,0.0,0.133231,0.22524,0.312146,0.133231,0.0,False,0.002056,0.011669,True
smallworld,0.5,0.5,residual_meanfield,12,random,0.01,0.01,0.02,0.2,0.133231,0.305841,0.512182,0.133231,0.0,False,0.082657,0.211705,True
smallworld,0.5,0.5,none,17,random,0.01,0.01,0.02,0.0,0.163877,0.266801,0.360782,0.163877,0.0,False,0.0,0.0,False
smallworld,0.5,0.5,noise_suppression,17,random,0.01,7.297e-05,0.02,0.0,0.163877,0.267105,0.361244,0.163877,0.0,False,0.000304,0.000462,False
smallworld,0.5,0.5,freq_narrowing,17,random,0.01,0.01,0.00291894,0.0,0.163877,0.269515,0.369543,0.163877,0.0,False,0.002714,0.008761,False
smallworld,0.5,0.5,residual_meanfield,17,random,0.01,0.01,0.02,0.2,0.163877,0.357829,0.571726,0.163877,0.0,False,0.091028,0.210944,True
